ID,Epic,Task,Sub-task,Title,Description,Owner,Priority,Week,Duration (days),Dependencies,Status,Notes
,,7.2 Admin Backend API,7.2.3,admin.test_camera,"Trigger test capture, return preview",FSD,P2,6,0.25,,Not Started,
,,7.2 Admin Backend API,7.2.4,admin.test_printer,Send test print,FSD,P2,6,0.15,,Not Started,
,,7.2 Admin Backend API,7.2.5,admin.test_payment,Simulate QRIS/cash payment for testing,FSD,P2,6,0.15,,Not Started,
,,7.2 Admin Backend API,7.2.6,admin.get_logs,Retrieve recent log entries,FSD,P2,6,0.25,,Not Started,
,,7.2 Admin Backend API,7.2.7,admin.export_sessions,Export session data as CSV,FSD,P2,6,0.25,,Not Started,
,,7.2 Admin Backend API,7.2.8,admin.restart_subsystem,"Restart camera, printer, or IPC subsystem",FSD,P2,6,0.25,,Not Started,
,E7 – Admin Panel,7.3 Admin Frontend Screens,,Admin Frontend Screens,Admin panel screens (6 tabs),FSD,P2,6–7,3,"7.2; E1",Not Started,
,,7.3 Admin Frontend Screens,7.3.1,Dashboard Tab,"Session count, revenue, hardware status, uptime, recent sessions table",FSD,P2,6–7,0.5,,Not Started,
,,7.3 Admin Frontend Screens,7.3.2,Settings Tab,"Session settings (photo count, countdown, timeouts), payment settings",FSD,P2,6–7,0.5,,Not Started,
,,7.3 Admin Frontend Screens,7.3.3,Hardware Tab,"Camera connect/disconnect + test, printer select + test, coin acceptor test",FSD,P2,7,0.5,,Not Started,
,,7.3 Admin Frontend Screens,7.3.4,Customization Tab,"Upload/manage layout and design templates, set defaults, enable/disable, filters",FSD,P2,7,0.5,,Not Started,
,,7.3 Admin Frontend Screens,7.3.5,Event Branding Tab,"Set event name, upload logo, lock customization options",FSD,P2,7,0.5,,Not Started,
,,7.3 Admin Frontend Screens,7.3.6,Maintenance Tab,"Error log viewer, export sessions, clear history, restart subsystems",FSD,P2,7,0.5,,Not Started,
,E7 – Admin Panel,7.4 Admin UI Design (GD),,Admin UI Design,Admin panel mockups,GD,P2,6,2,E1 (1.1),Not Started,Parallel with backend
,,7.4 Admin UI Design (GD),7.4.1,Admin Panel Layout,"Tabs/sidebar, table styles, form inputs",GD,P2,6,0.5,,Not Started,
,,7.4 Admin UI Design (GD),7.4.2,Status Indicator Icons,"Connected/disconnected, ready/error icons",GD,P2,6,0.5,,Not Started,
,,7.4 Admin UI Design (GD),7.4.3,Admin-Specific Components,"Numeric keypad for PIN, file upload area",GD,P2,6,0.5,,Not Started,
E8,E8 – Testing & Polish,,,Integration Testing & Polish,"E2E testing, backend tests, UI/UX polish, production readiness",FSD + GD,P0,7–8,5,All,Not Started,
,E8 – Testing & Polish,8.1 E2E Flow Testing,,End-to-End Flow Testing,Verified happy path and error paths,FSD,P0,7,2,All,Not Started,
,,8.1 E2E Flow Testing,8.1.1,Happy Path Test,"Attract → Onboarding → Payment (QRIS) → Setup → Capture ×4 → Customization → Preview → Print → QR → Complete → Attract",FSD,P0,7,0.5,,Not Started,
,,8.1 E2E Flow Testing,8.1.2,Cash Payment E2E,Test cash payment flow end-to-end,FSD,P0,7,0.25,,Not Started,
,,8.1 E2E Flow Testing,8.1.3,Error Recovery Tests,"Camera disconnect during capture, printer error, payment timeout",FSD,P0,7,0.5,,Not Started,
,,8.1 E2E Flow Testing,8.1.4,Inactivity Timeout Tests,Test timeouts on every screen — verify correct reset behavior,FSD,P0,7,0.25,,Not Started,
,,8.1 E2E Flow Testing,8.1.5,Retake Flow Test,"Retake from Customization, verify replacement and limit",FSD,P0,7,0.25,,Not Started,
,,8.1 E2E Flow Testing,8.1.6,Session Cancellation Tests,Cancel from various screens,FSD,P0,7,0.25,,Not Started,
,E8 – Testing & Polish,8.2 Backend Tests,,Backend Unit & Integration Tests,Expanded test suite,FSD,P0,7,1,E2,Not Started,
,,8.2 Backend Tests,8.2.1,FSM Transition Tests,"All 13 states, all trigger combinations",FSD,P0,7,0.25,,Not Started,
,,8.2 Backend Tests,8.2.2,Payment Controller Tests,"Mock serial, mock HTTP gateway",FSD,P0,7,0.25,,Not Started,
,,8.2 Backend Tests,8.2.3,Composite Renderer Tests,"Output dimensions, layer ordering",FSD,P0,7,0.25,E5,Not Started,
,,8.2 Backend Tests,8.2.4,QR/Download Tests,Token generation and QR output,FSD,P0,7,0.1,E6,Not Started,
,,8.2 Backend Tests,8.2.5,Session Lifecycle Integration,Full lifecycle from start to complete,FSD,P0,7,0.25,,Not Started,
,E8 – Testing & Polish,8.3 UI/UX Polish,,UI/UX Polish,Polished UI with animations and final assets,FSD + GD,P1,7–8,2,E4,Not Started,
,,8.3 UI/UX Polish,8.3.1,Screen Transition Animations,"Slide, fade transitions between screens",FSD + GD,P1,7–8,0.5,,Not Started,
,,8.3 UI/UX Polish,8.3.2,Micro-Interactions,"Button press feedback, countdown animation, capture flash",FSD + GD,P1,7–8,0.5,,Not Started,
,,8.3 UI/UX Polish,8.3.3,Touch Interaction Polish,"Swipe gestures (onboarding), drag-to-reorder (customization)",FSD,P1,8,0.25,"E4; E5",Not Started,
,,8.3 UI/UX Polish,8.3.4,Touch Target Verification,Verify all touch targets ≥ 48px,GD + FSD,P0,8,0.1,E4,Not Started,
,,8.3 UI/UX Polish,8.3.5,Performance Audit,"Camera preview ≥15 FPS, capture→thumbnail <3s, composite <5s",FSD,P0,8,0.25,All,Not Started,
,,8.3 UI/UX Polish,8.3.6,Kiosk Resolution Test,Test on target kiosk screen resolution,FSD + GD,P0,8,0.25,All,Not Started,
,,8.3 UI/UX Polish,8.3.7,Final Asset Integration,Replace placeholder graphics with final GD assets,FSD + GD,P1,8,0.25,E1,Not Started,
